dealer_id,name,state,city
1,Audi Bozeman,Montana,Bozeman
2,Audi South Burlington,Vermont,South Burlington
3,Bentley Parsippany,Parsippany-Troy Hills,New Jersey
4,Bentley Northbrook,Northbrook,Illinois
5,Taylor BMW,Georgia,Evans
6,BMW of North Liberty,Iowa,North Liberty
7,BMW of Sterling,Virginia,Sterling
8,Bugatti Greenwich,Conneticut,Greenwich
9,Braman Bugatti Miami,Florida,Miami
10,Woodhouse Buick GMC of Omaha,Nebraska,Omaha
11,Philips Chevrolet,Illinois,Frankfort
12,Harbor Chevrolet,California,Long Beach
13,Chevrolet Buick GMC of Fairbanks,Alaska,Fairbanks
14,Kuhio Chevrolet Cadillac,Hawaii,Lihue
15,Bob Moore Chrysler Dodge Jeep Ram,Oklahoma,Oklahoma City
16,Olathe Dodge Chrysler Jeep Ram,Kansas,Kansas City
17,Bill Dodge Cadillac,Maine,Westbrook
18,Carmax,Pennsylvania,Easton
19,AutoNation,Pennsylvania,Levittown
20,Penske Automotive,Michigan,Bloomfield Hills
21,Carmax NY,New York,Albany
22,Crest Chrysler Dodge Jeep RAM FIAT,New Hampshire,Center Conway
23,Crown Dodge Chrysler Jeep Ram FIAT,Mississippi,Pascagoula
24,Arroway Ford,New York,Bedford Hills
25,Village Ford Inc,Michigan,Dearborn
26,Hub City Ford Inc,Louisiana,Lafayette
27,Genesis of Brooklyn,New York,New York
28,Genesis of Jersey City,Jersey City,New Jersey
29,Manchester Honda,Connecticut,Manchester
30,Price Honda,Delware,Dover
31,Hyundai of Long Island City,New York,New York
32,Hudson Hyundai,New Jersey,Jersey City
33,Plaza INFINITI,Missouri,Creve Coeur
34,George Harte INFINITI,Conneticut,Wallingford
35,Fremont Motor Casper,Wyoming,Casper
36,Findlay,Nevada,Las Vegas
37,Peak Kia Colorado Springs,Colorado,Colorado Springs
38,Herb Chambers Lamborghini Boston,Massachusetts,Boston
39,Lamborghini Troy,Michigan,Troy
40,Fort Pierre Motors Inc,South Dakota,Fort Pierre
41,Dvorak Motors Inc,North Dakota,Bismarck
42,Maserati of Atlanta,Georgia,Roswell
43,Leith Maserati of Raleigh,North Carolina,Raleigh
44,Pinoneer Mazda,West Virginia,Parkersburg
45,Sport Mazda South,Florida,Orlando
46,Mercedes-Benz of Boise,Idaho,Boise
47,Mercedes-Benz of Santa Fe,New Mexico,Santa Fe
48,Kraft Nissan,Florida,Tallahassee
49,Tacoma Nissan,Washington,Tacoma
50,Dick Hannah Nissan,Oregan,Gladstone
51,Porsche Salt Lake City,Utah,Salt Lake City
52,Porsche Warwick,Rhode Island,Warwick
53,Rolls-Royce Motor Cars Charleston,South Carolina,Charleston
54,Rolls-Royce Motor Cars New England,Massachusetts,Wayland
55,Middletown Toyota,Connecticut,Middletown
56,Texas Toyota of Grapevine,Texas,Grapevine
57,Smith Volkswagen,Delaware,Wilmington
58,Hall Volkswagen,Wisconsin,Appleton
59,McLarty Volvo Cars of Little Rock,Arkansas,Little Rock
60,Volvo Cars of Nashville,Tennessee,Nashville